Error loading layout at './core/test-layouts': Path './core/test-layouts' either doesn't exist or is not a directory
Error loading layout from './layouts/test': Is a directory (os error 21)
Error loading layout from './layouts/goalseed-gen': Is a directory (os error 21)
Error loading layout from './layouts/goalseed-best': Is a directory (os error 21)
Error loading layout from './layouts/long-run': Is a directory (os error 21)
> gen: random restart greedy, 3 threads, top 1, from my-layout (2400s)

  1 layouts | best: -3.12T | 1/s | 0.7s   
  4 layouts | best: -1.58T | 3/s | 1.4s   
  7 layouts | best: -1.58T | 3/s | 2.1s   
  10 layouts | best: -1.46T | 2/s | 4.7s   
  13 layouts | best: -1.18T | 2/s | 5.4s   
  16 layouts | best: -1.18T | 2/s | 6.5s   
  17 layouts | best: -1.18T | 2/s | 8.6s   
  193 layouts | best: -1.07T | 2/s | 82.3s   
  195 layouts | best: -1.07T | 2/s | 83.3s   
  196 layouts | best: -1.07T | 2/s | 84.0s   
  197 layouts | best: -1.07T | 2/s | 84.5s   
  199 layouts | best: -1.07T | 2/s | 85.1s   
  201 layouts | best: -1.07T | 2/s | 85.8s   
  203 layouts | best: -1.07T | 2/s | 86.6s   
  205 layouts | best: -1.07T | 2/s | 87.4s   
  206 layouts | best: -1.07T | 2/s | 88.1s   
  208 layouts | best: -1.07T | 2/s | 88.9s   
  209 layouts | best: -1.07T | 2/s | 89.5s   
  210 layouts | best: -1.07T | 2/s | 90.3s   
  211 layouts | best: -1.07T | 2/s | 91.0s   
  212 layouts | best: -1.07T | 2/s | 91.6s   
  215 layouts | best: -1.07T | 2/s | 92.4s   
  217 layouts | best: -1.07T | 2/s | 93.1s   
  219 layouts | best: -1.07T | 2/s | 93.8s   
  221 layouts | best: -1.07T | 2/s | 94.5s   
  223 layouts | best: -1.07T | 2/s | 95.2s   
  225 layouts | best: -1.07T | 2/s | 95.9s   
  227 layouts | best: -1.07T | 2/s | 96.6s   
  228 layouts | best: -1.07T | 2/s | 97.3s   
  229 layouts | best: -1.07T | 2/s | 98.0s   
  230 layouts | best: -1.07T | 2/s | 98.9s   
  232 layouts | best: -1.07T | 2/s | 99.7s   
  233 layouts | best: -1.07T | 2/s | 100.4s   
  234 layouts | best: -1.07T | 2/s | 101.2s   
  235 layouts | best: -1.07T | 2/s | 101.9s   
  237 layouts | best: -1.07T | 2/s | 103.2s   
  238 layouts | best: -1.07T | 2/s | 104.0s   
  239 layouts | best: -1.07T | 2/s | 104.6s   
  241 layouts | best: -1.07T | 2/s | 105.2s   
  244 layouts | best: -1.07T | 2/s | 105.9s   
  246 layouts | best: -1.07T | 2/s | 106.7s   
  248 layouts | best: -1.07T | 2/s | 108.2s   
  249 layouts | best: -1.07T | 2/s | 109.5s   
  250 layouts | best: -1.07T | 2/s | 110.0s   
  252 layouts | best: -1.07T | 2/s | 110.8s   
  254 layouts | best: -1.07T | 2/s | 111.4s   
  257 layouts | best: -1.07T | 2/s | 112.1s   
  259 layouts | best: -1.07T | 2/s | 114.6s   
  262 layouts | best: -1.07T | 2/s | 115.4s   
  263 layouts | best: -1.07T | 2/s | 116.1s   
  264 layouts | best: -1.07T | 2/s | 116.8s   
  265 layouts | best: -1.07T | 2/s | 117.6s   
  267 layouts | best: -1.07T | 2/s | 118.1s   
  270 layouts | best: -1.07T | 2/s | 118.8s   
  273 layouts | best: -1.07T | 2/s | 119.6s   
  275 layouts | best: -1.07T | 2/s | 120.5s   
  276 layouts | best: -1.07T | 2/s | 121.3s   
  277 layouts | best: -1.07T | 2/s | 122.1s   
  280 layouts | best: -1.07T | 2/s | 122.9s   
  282 layouts | best: -1.07T | 2/s | 123.6s   
  284 layouts | best: -1.07T | 2/s | 124.4s   
  286 layouts | best: -1.07T | 2/s | 125.2s   
  288 layouts | best: -1.07T | 2/s | 127.3s   
  289 layouts | best: -1.07T | 2/s | 127.9s   
  292 layouts | best: -1.07T | 2/s | 128.6s   
  294 layouts | best: -1.07T | 2/s | 129.3s   
  296 layouts | best: -1.07T | 2/s | 130.1s   
  297 layouts | best: -1.07T | 2/s | 130.8s   
  299 layouts | best: -1.07T | 2/s | 131.7s   
  300 layouts | best: -1.07T | 2/s | 132.4s   
  302 layouts | best: -1.07T | 2/s | 134.3s   
  303 layouts | best: -1.07T | 2/s | 135.0s   
  305 layouts | best: -1.07T | 2/s | 135.8s   
  306 layouts | best: -1.07T | 2/s | 136.5s   
  307 layouts | best: -1.07T | 2/s | 137.3s   
  308 layouts | best: -1.07T | 2/s | 138.0s   
  309 layouts | best: -1.07T | 2/s | 138.5s   
  311 layouts | best: -1.07T | 2/s | 139.3s   
  313 layouts | best: -1.07T | 2/s | 140.1s   
  316 layouts | best: -1.07T | 2/s | 140.8s   
  319 layouts | best: -1.07T | 2/s | 141.5s   
  322 layouts | best: -1.07T | 2/s | 142.3s   
  324 layouts | best: -1.07T | 2/s | 143.1s   
  326 layouts | best: -1.07T | 2/s | 144.2s   
  328 layouts | best: -1.07T | 2/s | 144.9s   
  329 layouts | best: -1.07T | 2/s | 145.6s   
  331 layouts | best: -1.07T | 2/s | 146.4s   
  333 layouts | best: -1.07T | 2/s | 146.9s   
  334 layouts | best: -1.07T | 2/s | 147.5s   
  336 layouts | best: -1.07T | 2/s | 148.2s   
  338 layouts | best: -1.07T | 2/s | 149.4s   
  339 layouts | best: -1.07T | 2/s | 150.1s   
  340 layouts | best: -1.07T | 2/s | 150.9s   
  341 layouts | best: -1.07T | 2/s | 151.6s   
  343 layouts | best: -1.07T | 2/s | 152.2s   
  346 layouts | best: -1.07T | 2/s | 153.0s   
  348 layouts | best: -1.07T | 2/s | 155.5s   
  351 layouts | best: -1.07T | 2/s | 156.2s   
  354 layouts | best: -1.07T | 2/s | 157.3s   
  355 layouts | best: -1.07T | 2/s | 158.0s   
  356 layouts | best: -1.02T | 2/s | 158.9s   
  357 layouts | best: -1.02T | 2/s | 159.4s   
  359 layouts | best: -1.02T | 2/s | 160.3s   
  361 layouts | best: -1.02T | 2/s | 160.9s   
  363 layouts | best: -1.02T | 2/s | 161.6s   
  364 layouts | best: -1.02T | 2/s | 162.3s   
  365 layouts | best: -1.02T | 2/s | 163.0s   
  367 layouts | best: -1.02T | 2/s | 163.8s   
  370 layouts | best: -1.02T | 2/s | 164.5s   
  371 layouts | best: -1.02T | 2/s | 165.2s   
  372 layouts | best: -1.02T | 2/s | 166.0s   
  374 layouts | best: -1.02T | 2/s | 166.6s   
  376 layouts | best: -1.02T | 2/s | 167.3s   
  377 layouts | best: -1.02T | 2/s | 168.1s   
  378 layouts | best: -1.02T | 2/s | 169.4s   
  380 layouts | best: -1.02T | 2/s | 170.2s   
  382 layouts | best: -1.02T | 2/s | 170.9s   
  384 layouts | best: -1.02T | 2/s | 171.6s   
  387 layouts | best: -1.02T | 2/s | 172.4s   
  389 layouts | best: -1.02T | 2/s | 172.9s   
  391 layouts | best: -1.02T | 2/s | 173.7s   
  393 layouts | best: -1.02T | 2/s | 174.4s   
  394 layouts | best: -1.02T | 2/s | 175.2s   
  396 layouts | best: -1.02T | 2/s | 176.2s   
  398 layouts | best: -1.02T | 2/s | 177.0s   
  400 layouts | best: -1.02T | 2/s | 177.8s   
  403 layouts | best: -1.02T | 2/s | 178.8s   
  405 layouts | best: -1.02T | 2/s | 179.5s   
  407 layouts | best: -1.02T | 2/s | 180.2s   
  408 layouts | best: -1.02T | 2/s | 180.9s   
  410 layouts | best: -1.02T | 2/s | 181.6s   
  412 layouts | best: -1.02T | 2/s | 182.2s   
  415 layouts | best: -1.02T | 2/s | 182.9s   
  417 layouts | best: -1.02T | 2/s | 183.6s   
  419 layouts | best: -1.02T | 2/s | 184.4s   
  421 layouts | best: -1.02T | 2/s | 185.4s   
  422 layouts | best: -1.02T | 2/s | 186.2s   
  423 layouts | best: -1.02T | 2/s | 187.2s   
  424 layouts | best: -1.02T | 2/s | 187.9s   
  426 layouts | best: -1.02T | 2/s | 188.6s   
  428 layouts | best: -1.02T | 2/s | 189.2s   
  431 layouts | best: -1.02T | 2/s | 190.0s   
  433 layouts | best: -1.02T | 2/s | 190.8s   
  435 layouts | best: -1.02T | 2/s | 191.5s   
  437 layouts | best: -1.02T | 2/s | 192.2s   
  440 layouts | best: -1.02T | 2/s | 192.9s   
  442 layouts | best: -1.02T | 2/s | 193.6s   
  443 layouts | best: -1.02T | 2/s | 194.3s   
  444 layouts | best: -1.02T | 2/s | 195.1s   
  447 layouts | best: -1.02T | 2/s | 195.8s   
  450 layouts | best: -1.02T | 2/s | 196.5s   
  452 layouts | best: -1.02T | 2/s | 197.2s   
  454 layouts | best: -1.02T | 2/s | 198.0s   
  457 layouts | best: -1.02T | 2/s | 198.9s   
  459 layouts | best: -1.02T | 2/s | 199.6s   
  461 layouts | best: -1.02T | 2/s | 200.4s   
  464 layouts | best: -1.02T | 2/s | 201.1s   
  466 layouts | best: -1.02T | 2/s | 201.8s   
  468 layouts | best: -1.02T | 2/s | 202.7s   
  469 layouts | best: -1.02T | 2/s | 203.5s   
  470 layouts | best: -1.02T | 2/s | 204.3s   
  471 layouts | best: -1.02T | 2/s | 204.9s   
  474 layouts | best: -1.02T | 2/s | 205.7s   
  477 layouts | best: -1.02T | 2/s | 206.4s   
  480 layouts | best: -1.02T | 2/s | 207.2s   
  482 layouts | best: -1.02T | 2/s | 209.4s   
  484 layouts | best: -1.02T | 2/s | 210.3s   
  487 layouts | best: -1.02T | 2/s | 211.2s   
  489 layouts | best: -1.02T | 2/s | 212.0s   
  491 layouts | best: -1.02T | 2/s | 212.7s   
  493 layouts | best: -1.02T | 2/s | 213.3s   
  495 layouts | best: -1.02T | 2/s | 213.9s   
  497 layouts | best: -1.02T | 2/s | 214.6s   
  499 layouts | best: -1.02T | 2/s | 216.4s   
  500 layouts | best: -1.02T | 2/s | 217.1s   
  501 layouts | best: -1.02T | 2/s | 217.7s   
  503 layouts | best: -1.02T | 2/s | 218.4s   
  504 layouts | best: -1.02T | 2/s | 219.2s   
  505 layouts | best: -1.02T | 2/s | 219.7s   
  507 layouts | best: -1.02T | 2/s | 220.8s   
  509 layouts | best: -1.02T | 2/s | 221.5s   
  511 layouts | best: -1.02T | 2/s | 222.3s   
  514 layouts | best: -1.02T | 2/s | 223.1s   
  516 layouts | best: -1.02T | 2/s | 223.8s   
  519 layouts | best: -1.02T | 2/s | 224.6s   
  521 layouts | best: -1.02T | 2/s | 225.3s   
  523 layouts | best: -1.02T | 2/s | 226.2s   
  525 layouts | best: -1.02T | 2/s | 227.2s   
  527 layouts | best: -1.02T | 2/s | 227.9s   
  528 layouts | best: -1.02T | 2/s | 228.9s   
  529 layouts | best: -1.02T | 2/s | 229.6s   
  530 layouts | best: -1.02T | 2/s | 230.4s   
  533 layouts | best: -1.02T | 2/s | 231.2s   
  535 layouts | best: -1.02T | 2/s | 231.9s   
  537 layouts | best: -1.02T | 2/s | 232.7s   
  539 layouts | best: -1.02T | 2/s | 233.4s   
  541 layouts | best: -1.02T | 2/s | 234.2s   
  542 layouts | best: -1.02T | 2/s | 234.9s   
  543 layouts | best: -1.02T | 2/s | 235.6s   
  545 layouts | best: -1.02T | 2/s | 236.3s   
  548 layouts | best: -1.02T | 2/s | 237.1s   
  551 layouts | best: -1.02T | 2/s | 237.8s   
  553 layouts | best: -1.02T | 2/s | 238.7s   
  555 layouts | best: -1.02T | 2/s | 239.4s   
  557 layouts | best: -1.02T | 2/s | 240.2s   
  560 layouts | best: -1.02T | 2/s | 240.9s   
  563 layouts | best: -1.02T | 2/s | 241.7s   
  566 layouts | best: -1.02T | 2/s | 242.4s   
  568 layouts | best: -1.02T | 2/s | 243.2s   
  570 layouts | best: -1.02T | 2/s | 244.0s   
  571 layouts | best: -1.02T | 2/s | 244.8s   
  572 layouts | best: -1.02T | 2/s | 245.5s   
  573 layouts | best: -1.02T | 2/s | 246.1s   
  575 layouts | best: -1.02T | 2/s | 247.0s   
  576 layouts | best: -1.02T | 2/s | 247.8s   
  578 layouts | best: -1.02T | 2/s | 248.5s   
  580 layouts | best: -1.02T | 2/s | 249.2s   
  583 layouts | best: -1.02T | 2/s | 250.1s   
  584 layouts | best: -1.02T | 2/s | 250.9s   
  585 layouts | best: -1.02T | 2/s | 251.6s   
  586 layouts | best: -1.02T | 2/s | 252.2s   
  589 layouts | best: -1.02T | 2/s | 253.0s   
  591 layouts | best: -1.02T | 2/s | 255.4s   
  592 layouts | best: -1.02T | 2/s | 256.0s   
  594 layouts | best: -1.02T | 2/s | 257.0s   
  595 layouts | best: -1.02T | 2/s | 257.8s   
  596 layouts | best: -1.02T | 2/s | 258.5s   
  598 layouts | best: -1.02T | 2/s | 259.6s   
  600 layouts | best: -1.02T | 2/s | 260.3s   
  603 layouts | best: -1.02T | 2/s | 261.1s   
  606 layouts | best: -1.02T | 2/s | 262.0s   
  609 layouts | best: -1.02T | 2/s | 262.8s   
  610 layouts | best: -1.02T | 2/s | 263.5s   
  611 layouts | best: -1.02T | 2/s | 265.1s   
  613 layouts | best: -1.02T | 2/s | 265.9s   
  615 layouts | best: -1.02T | 2/s | 267.0s   
  616 layouts | best: -1.02T | 2/s | 267.7s   
  617 layouts | best: -1.02T | 2/s | 268.2s   
  619 layouts | best: -1.02T | 2/s | 268.9s   
  621 layouts | best: -1.02T | 2/s | 269.6s   
  622 layouts | best: -1.02T | 2/s | 271.3s   
  623 layouts | best: -1.02T | 2/s | 272.0s   
  626 layouts | best: -1.02T | 2/s | 273.0s   
  628 layouts | best: -1.02T | 2/s | 273.7s   
  629 layouts | best: -1.02T | 2/s | 274.4s   
  631 layouts | best: -1.02T | 2/s | 275.2s   
  634 layouts | best: -1.02T | 2/s | 276.2s   
  636 layouts | best: -1.02T | 2/s | 277.9s   
  637 layouts | best: -1.02T | 2/s | 278.6s   
  639 layouts | best: -1.02T | 2/s | 279.2s   
  640 layouts | best: -1.02T | 2/s | 280.0s   
  641 layouts | best: -1.02T | 2/s | 281.3s   
  642 layouts | best: -1.02T | 2/s | 281.9s   
  644 layouts | best: -1.02T | 2/s | 282.6s   
  646 layouts | best: -1.02T | 2/s | 283.2s   
  649 layouts | best: -1.02T | 2/s | 284.0s   
  651 layouts | best: -1.02T | 2/s | 285.4s   
  652 layouts | best: -1.02T | 2/s | 286.0s   
  654 layouts | best: -1.02T | 2/s | 286.8s   
  657 layouts | best: -1.02T | 2/s | 287.6s   
  659 layouts | best: -1.02T | 2/s | 288.4s   
  660 layouts | best: -1.02T | 2/s | 290.7s   
  661 layouts | best: -1.02T | 2/s | 291.3s   
  664 layouts | best: -1.02T | 2/s | 292.1s   
  665 layouts | best: -1.02T | 2/s | 293.0s   
  666 layouts | best: -1.02T | 2/s | 293.8s   
  667 layouts | best: -1.02T | 2/s | 294.6s   
  670 layouts | best: -1.02T | 2/s | 297.5s   
  672 layouts | best: -1.02T | 2/s | 298.4s   
  674 layouts | best: -1.02T | 2/s | 299.2s   
  675 layouts | best: -1.02T | 2/s | 299.9s   
  676 layouts | best: -1.02T | 2/s | 301.3s   
  678 layouts | best: -1.02T | 2/s | 302.2s   
  679 layouts | best: -1.02T | 2/s | 302.8s   
  681 layouts | best: -1.02T | 2/s | 303.6s   
  683 layouts | best: -1.02T | 2/s | 304.3s   
  685 layouts | best: -1.02T | 2/s | 305.1s   
  686 layouts | best: -1.02T | 2/s | 305.9s   
  688 layouts | best: -1.02T | 2/s | 306.6s   
  689 layouts | best: -1.02T | 2/s | 307.1s   
  692 layouts | best: -1.02T | 2/s | 308.1s   
  694 layouts | best: -1.02T | 2/s | 308.8s   
  696 layouts | best: -1.02T | 2/s | 309.7s   
  698 layouts | best: -1.02T | 2/s | 310.4s   
  700 layouts | best: -1.02T | 2/s | 311.1s   
  701 layouts | best: -1.02T | 2/s | 311.7s   
  703 layouts | best: -1.02T | 2/s | 312.4s   
  704 layouts | best: -1.02T | 2/s | 313.2s   
  705 layouts | best: -1.02T | 2/s | 313.8s   
  706 layouts | best: -1.02T | 2/s | 314.5s   
  708 layouts | best: -1.02T | 2/s | 315.2s   
  710 layouts | best: -1.02T | 2/s | 316.0s   
  713 layouts | best: -1.02T | 2/s | 316.7s   
  715 layouts | best: -1.02T | 2/s | 317.5s   
  717 layouts | best: -1.02T | 2/s | 318.4s   
  719 layouts | best: -1.02T | 2/s | 319.1s   
  721 layouts | best: -1.02T | 2/s | 319.9s   
  723 layouts | best: -1.02T | 2/s | 321.0s   
  724 layouts | best: -1.02T | 2/s | 322.4s   
  726 layouts | best: -1.02T | 2/s | 323.3s   
  728 layouts | best: -1.02T | 2/s | 324.0s   
  730 layouts | best: -1.02T | 2/s | 325.2s   
  732 layouts | best: -1.02T | 2/s | 326.0s   
  734 layouts | best: -1.02T | 2/s | 327.0s   
  735 layouts | best: -1.02T | 2/s | 327.7s   
  736 layouts | best: -1.02T | 2/s | 328.4s   
  738 layouts | best: -1.02T | 2/s | 329.0s   
  739 layouts | best: -1.02T | 2/s | 330.9s   
  741 layouts | best: -1.02T | 2/s | 331.7s   
  744 layouts | best: -1.02T | 2/s | 332.6s   
  746 layouts | best: -1.02T | 2/s | 334.6s   
  748 layouts | best: -1.02T | 2/s | 335.3s   
  751 layouts | best: -1.02T | 2/s | 336.2s   
  752 layouts | best: -1.02T | 2/s | 336.8s   
  754 layouts | best: -1.02T | 2/s | 337.7s   
  756 layouts | best: -1.02T | 2/s | 338.5s   
  758 layouts | best: -1.02T | 2/s | 339.3s   
  760 layouts | best: -1.02T | 2/s | 340.0s   
  762 layouts | best: -1.02T | 2/s | 340.9s   
  764 layouts | best: -1.02T | 2/s | 341.7s   
  766 layouts | best: -1.02T | 2/s | 342.5s   
  769 layouts | best: -1.02T | 2/s | 343.2s   
  772 layouts | best: -1.02T | 2/s | 344.0s   
  775 layouts | best: -1.02T | 2/s | 344.7s   
  778 layouts | best: -1.02T | 2/s | 345.6s   
  779 layouts | best: -1.02T | 2/s | 347.5s   
  781 layouts | best: -1.02T | 2/s | 348.3s   
  784 layouts | best: -1.02T | 2/s | 349.0s   
  786 layouts | best: -1.02T | 2/s | 350.0s   
  787 layouts | best: -1.02T | 2/s | 350.5s   
  789 layouts | best: -1.02T | 2/s | 351.4s   
  791 layouts | best: -1.02T | 2/s | 351.9s   
  794 layouts | best: -1.02T | 2/s | 352.9s   
  796 layouts | best: -1.02T | 2/s | 353.6s   
  797 layouts | best: -1.02T | 2/s | 354.3s   
  798 layouts | best: -1.02T | 2/s | 355.3s   
  800 layouts | best: -1.02T | 2/s | 356.6s   
  801 layouts | best: -1.02T | 2/s | 357.3s   
  803 layouts | best: -1.02T | 2/s | 358.2s   
  805 layouts | best: -1.02T | 2/s | 359.0s   
  806 layouts | best: -1.02T | 2/s | 359.7s   
  807 layouts | best: -1.02T | 2/s | 360.3s   
  810 layouts | best: -1.02T | 2/s | 361.3s   
  811 layouts | best: -1.02T | 2/s | 362.8s   
  813 layouts | best: -1.02T | 2/s | 363.5s   
  815 layouts | best: -1.02T | 2/s | 364.2s   
  817 layouts | best: -1.02T | 2/s | 364.9s   
  818 layouts | best: -1.02T | 2/s | 366.8s   
  820 layouts | best: -1.02T | 2/s | 367.5s   
  822 layouts | best: -1.02T | 2/s | 368.3s   
  824 layouts | best: -1.02T | 2/s | 369.0s   
  826 layouts | best: -1.02T | 2/s | 369.8s   
  828 layouts | best: -1.02T | 2/s | 370.3s   
  830 layouts | best: -1.02T | 2/s | 371.0s   
  832 layouts | best: -1.02T | 2/s | 371.5s   
  834 layouts | best: -1.02T | 2/s | 372.2s   
  836 layouts | best: -1.02T | 2/s | 372.9s   
  837 layouts | best: -1.02T | 2/s | 373.4s   
  839 layouts | best: -1.02T | 2/s | 374.0s   
  841 layouts | best: -1.02T | 2/s | 374.7s   
  842 layouts | best: -1.02T | 2/s | 375.4s   
  843 layouts | best: -1.02T | 2/s | 376.2s   
  845 layouts | best: -1.02T | 2/s | 376.7s   
  847 layouts | best: -1.02T | 2/s | 377.4s   
  850 layouts | best: -1.02T | 2/s | 378.1s   
  853 layouts | best: -1.02T | 2/s | 378.8s   
  856 layouts | best: -1.02T | 2/s | 379.6s   
  859 layouts | best: -1.02T | 2/s | 380.3s   
  861 layouts | best: -1.02T | 2/s | 381.0s   
  863 layouts | best: -1.02T | 2/s | 382.1s   
  865 layouts | best: -1.02T | 2/s | 383.2s   
  866 layouts | best: -1.02T | 2/s | 383.9s   
  868 layouts | best: -1.02T | 2/s | 384.6s   
  870 layouts | best: -1.02T | 2/s | 385.3s   
  872 layouts | best: -1.02T | 2/s | 386.0s   
  874 layouts | best: -1.02T | 2/s | 386.8s   
  877 layouts | best: -1.02T | 2/s | 387.5s   
  879 layouts | best: -1.02T | 2/s | 388.2s   
  881 layouts | best: -1.02T | 2/s | 389.0s   
  883 layouts | best: -1.02T | 2/s | 389.7s   
  886 layouts | best: -1.02T | 2/s | 390.4s   
  888 layouts | best: -1.02T | 2/s | 392.3s   
  889 layouts | best: -1.02T | 2/s | 393.6s   
  891 layouts | best: -1.02T | 2/s | 394.3s   
  892 layouts | best: -1.02T | 2/s | 395.1s   
  893 layouts | best: -1.02T | 2/s | 395.7s   
  895 layouts | best: -1.02T | 2/s | 396.3s   
  898 layouts | best: -1.02T | 2/s | 397.1s   
  899 layouts | best: -1.02T | 2/s | 398.0s   
  900 layouts | best: -1.02T | 2/s | 399.0s   
  902 layouts | best: -1.02T | 2/s | 399.7s   
  903 layouts | best: -1.02T | 2/s | 401.2s   
  904 layouts | best: -1.02T | 2/s | 401.9s   
  906 layouts | best: -1.02T | 2/s | 402.7s   
  907 layouts | best: -1.02T | 2/s | 403.4s   
  908 layouts | best: -1.02T | 2/s | 404.1s   
  910 layouts | best: -1.02T | 2/s | 405.1s   
  912 layouts | best: -1.02T | 2/s | 405.9s   
  914 layouts | best: -1.02T | 2/s | 406.7s   
  915 layouts | best: -1.02T | 2/s | 407.4s   
  917 layouts | best: -1.02T | 2/s | 408.2s   
  919 layouts | best: -1.02T | 2/s | 408.9s   
  922 layouts | best: -1.02T | 2/s | 409.7s   
  924 layouts | best: -1.02T | 2/s | 410.4s   
  926 layouts | best: -1.02T | 2/s | 411.8s   
  927 layouts | best: -1.02T | 2/s | 413.2s   
  928 layouts | best: -1.02T | 2/s | 414.0s   
  929 layouts | best: -1.02T | 2/s | 414.7s   
  931 layouts | best: -1.02T | 2/s | 415.5s   
  933 layouts | best: -1.02T | 2/s | 416.2s   
  935 layouts | best: -1.02T | 2/s | 417.2s   
  937 layouts | best: -1.02T | 2/s | 417.9s   
